code_insee,nom,parti,nb_voix,percent_inscrits,percents_exprimes
93001,"M. Pascal BEAUDET",LFG,5610,20.33,45.73
93001,"M. Jacques SALVATOR",LUG,4773,17.30,38.91
93001,"M. Fayçal MENIA",LUD,1883,6.82,15.35
93005,"M. Bruno BESCHIZZA",LUD,14547,32.41,60.70
93005,"M. Gérard SEGURA",LUG,9417,20.98,39.29
93006,"M. Laurent JAMET",LFG,2766,14.99,31.35
93006,"M. Jacques NIO",LUD,1130,6.12,12.81
93006,"Mme Mireille FERRI",LVEC,1788,9.69,20.26
93006,"M. Tony DI MARTINO",LSOC,3137,17.00,35.56
93007,"M. Thierry MEIGNEN",LUMP,7011,27.77,50.75
93007,"M. Didier MIGNOT",LUG,6802,26.94,49.24
93008,"Mme Catherine PEYGE",LUG,4966,22.50,46.00
93008,"M. Stéphane DE PAOLI",LUDI,5828,26.40,53.99
93010,"M. Hakim KADRI",LDVG,1255,4.90,10.72
93010,"M. Stephen HERVE",LUD,4902,19.17,41.88
93010,"Mme Sylvine THOMASSIN",LUG,5546,21.69,47.38
93013,"Mme Valérie MERY",LSOC,467,7.15,14.23
93013,"M. Vincent CAPO-CANELLAS",LUDI,1929,29.56,58.81
93013,"M. Johnny MAGAMOOTOO",LDIV,531,8.13,16.18
93013,"M. Sebastien FOY",LDVD,353,5.40,10.76
93014,"M. Nicolas HENAULT",LUMP,760,7.00,18.48
93014,"M. Olivier KLEIN",LUG,2698,24.85,65.62
93014,"M. Sullivan MUNOZ",LEXG,143,1.31,3.47
93014,"M. Mohamed DINE",LUDI,510,4.69,12.40
93015,"M. Raymond COENNE",LUD,850,25.17,36.51
93015,"M. Ludovic TORO",LDVD,1175,34.79,50.47
93015,"M. Gérard AUGER",LUG,303,8.97,13.01
93027,"M. Gilles POUX",LUG,3361,23.41,57.88
93027,"Mme Nabiha REZKALLA",LDVG,459,3.19,7.90
93027,"M. Albin PHILIPPS",LDVG,311,2.16,5.35
93027,"M. Samir KHEROUNI",LDVG,402,2.80,6.92
93027,"Mme Cécile DUCHENE",LEXG,218,1.51,3.75
93027,"M. Kamel HAMZA",LUMP,1055,7.35,18.17
93029,"Mme Nathalie VASSEUR",LFG,1874,5.26,11.16
93029,"M. Hacène CHIBANE",LSOC,1856,5.21,11.06
93029,"Mme Estelle JAQUET",LEXG,454,1.27,2.70
93029,"M. Jean-Christophe LAGARDE",LUD,12595,35.36,75.06
93030,"M. Michel DELPLACE",LFG,476,8.56,18.21
93030,"M. André VEYSSIERE",LUD,1384,24.89,52.96
93030,"Mme Janine LOPEZ",LSOC,753,13.54,28.81
93031,"M. Yannick TRIGANCE",LUG,3037,12.19,27.22
93031,"M. Daniel RIGAULT",LFG,470,1.88,4.21
93031,"M. Oben AYYILDIZ",LDVD,393,1.57,3.52
93031,"M. Hervé CHEVREAU",LDVD,7254,29.12,65.03
93032,"M. Jean-François THEVENOT",LDVG,968,4.25,8.75
93032,"M. Aurélien BERTHOU",LUG,3245,14.26,29.35
93032,"M. Michel TEULET",LUD,6840,30.06,61.88
93033,"M. FRANCK ATTAL",LUMP,1250,26.77,38.54
93033,"M. Jean-Pierre CALMETTE",LUD,656,14.05,20.22
93033,"M. Eric SCHLEGEL",LDVD,1337,28.63,41.22
93039,"M. Christophe ROSÉ",LSOC,280,7.73,14.82
93039,"M. Michel BOURGAIN",LDVG,972,26.84,51.45
93039,"M. Pascal AKOUN",LFG,544,15.02,28.79
93039,"M. Benoît MARANGET",LEXG,93,2.56,4.92
93045,"Mme Christine SAMSON",LEXG,198,1.43,2.69
93045,"M. Daniel GUIRAUD",LUG,4086,29.60,55.59
93045,"Mme Virginie GRAND",LUD,1960,14.20,26.67
93045,"M. Fabien DUSSUD",LEXG,126,0.91,1.71
93045,"Mme Marie-Genevieve LENTAIGNE",LDVG,979,7.09,13.32
93046,"M. Pierre-Yves MARTIN",LUD,7037,30.58,56.16
93046,"M. Alain CALMAT",LUG,5493,23.87,43.83
93047,"M. Christophe VERSTRAETE",LDIV,295,2.23,4.22
93047,"M. Xavier LEMOINE",LDVD,4285,32.42,61.33
93047,"M. Rodrigo ARENAS MUNOZ",LVEC,1332,10.07,19.06
93047,"M. Olivier D'HENRY",LFG,1074,8.12,15.37
93048,"Mme Manon LAPORTE",LUD,5381,9.34,18.14
93048,"Mme Mouna VIPREY",LDVG,2787,4.84,9.39
93048,"M. Patrice BESSAC",LUG,10990,19.09,37.06
93048,"M. Jean-Pierre BRARD",LDVG,10496,18.23,35.39
93049,"Mme Muriel SOLIBIÉDA",LSOC,1495,10.91,20.81
93049,"M. Rodolphe ALBERO MARTINEZ",LFG,502,3.66,6.98
93049,"M. Christian DEMUYNCK",LUD,5186,37.87,72.19
93050,"M. Abdelhak KACHOURI",LUG,1368,7.12,15.40
93050,"M. Jacques MAHÉAS",LDVG,5770,30.05,64.98
93050,"M. Zartoshte BAKHTIARI",LUD,1741,9.06,19.60
93051,"M. Michel PAJON",LUG,8068,22.33,42.90
93051,"Mme Brigitte MARSIGNY",LUD,7061,19.55,37.54
93051,"Mme Patricia BÉTUEL",LFG,1659,4.59,8.82
93051,"M. Maxence BUTTEY",LFN,2018,5.58,10.73
93053,"M. Olivier SARRABEYROUSE",LUG,4146,20.18,41.53
93053,"M. Laurent RIVOIRE",LUD,5835,28.40,58.46
93055,"Mme Armonia BORDES",LEXG,319,1.30,2.95
93055,"M. Jean-Pierre HENRY",LFG,1419,5.82,13.12
93055,"Mme Nadia AZOUG",LVEC,1354,5.55,12.52
93055,"M. Bertrand KERN",LSOC,5462,22.41,50.53
93055,"M. Geoffrey CARVALHINHO",LUD,2254,9.25,20.85
93057,"M. Philippe DALLIER",LUMP,4975,42.46,82.82
93057,"M. Bernard DENY",LSOC,1032,8.80,17.17
93059,"M. Michel FOURCADE",LUG,2451,20.17,51.27
93059,"M. Pascal KOUPPE",LUDI,1000,8.23,20.92
93059,"M. Farid AÏD",LCOM,1329,10.93,27.80
93061,"Mme Catherine SIRE",LDVG,762,8.86,18.93
93061,"Mme Thu Van BLANCHARD",LUMP,1041,12.11,25.86
93061,"M. Patrice ZAHN",LEXG,191,2.22,4.74
93061,"M. Gérard COSME",LUG,2031,23.63,50.45
93062,"M. Eric RAOULT",LUD,2265,21.29,35.90
93062,"M. Jean-Michel GENESTIER",LDVD,3429,32.23,54.35
93062,"M. Stéphane LAPIDUS",LSOC,615,5.78,9.74
93063,"M. Florian FAVIER WAGENAAR",LUD,1284,9.43,20.66
93063,"Mme Corinne VALLS",LUG,3045,22.36,49.00
93063,"Mme Sofia DAUVERGNE",LFG,1885,13.84,30.33
93064,"M. Philippe VACHIERI",LUG,3359,14.35,30.40
93064,"M. Daniel BOUSSELAIRE",LFN,1159,4.95,10.49
93064,"M. Claude CAPILLON",LUD,5461,23.33,49.43
93064,"M. Pierre-Olivier CAREL",LMDM,1067,4.55,9.65
93066,"M. Didier PAILLARD",LCOM,9209,21.31,50.49
93066,"M. Mathieu HANOTIN",LSOC,9028,20.89,49.50
93070,"Mme Jacqueline ROUILLON",LFG,5610,24.69,46.83
93070,"M. William DELANNOY",LDVD,6369,28.03,53.16
93071,"Mme Clémentine AUTAIN",LFG,3298,14.28,31.31
93071,"M. Philippe GEFFROY",LDVD,1910,8.27,18.13
93071,"M. Stéphane GATIGNON",LUG,5325,23.06,50.55
93072,"M. Azzédine TAÏBI",LUG,3317,20.18,50.33
93072,"M. Julien MUGERIN",LUMP,2763,16.81,41.92
93072,"M. Khader ABDELLALI",LUDI,510,3.10,7.73
93073,"M. Emmanuel NAUD",LUC,1650,7.89,18.89
93073,"M. François ASENSI",LFG,5998,28.71,68.69
93073,"Mme Micheline GUILLEMETTE",LEXG,251,1.20,2.87
93073,"M. Franck MISSON",LSOC,832,3.98,9.52
93074,"M. José DA SILVA",LDVD,338,7.92,15.24
93074,"M. Daniel BORGEOT",LDIV,293,6.86,13.21
93074,"Mme Claudine SIMMER",LDVG,183,4.28,8.25
93074,"M. Dominique BAILLY",LUD,1403,32.88,63.28
93077,"M. Jean-Philippe SOUBEYRE",LDVD,700,4.54,7.87
93077,"M. Marc DAYDIE",LUG,2343,15.21,26.37
93077,"M. Patrice CALMEJANE",LUD,5842,37.93,65.75
93078,"Mme Nelly ROLAND",LUG,3507,17.63,37.20
93078,"Mme Martine VALLETON",LUD,5918,29.76,62.79
93079,"M. Karim BOUAMAR",LSOC,225,3.77,7.50
93079,"Mme Carinne JUSTE",LFG,1298,21.77,43.30
93079,"M. Dieunor EXCELLENT",LDVG,781,13.10,26.05
93079,"M. Slimane BENHAMMOU",LDIV,693,11.62,23.12
