code_insee,nom,parti,nb_voix,percent_inscrits,percents_exprimes
94001,"M. Eric GRILLON",LUD,1215,38.53,61.98
94001,"Mme Corinne GORLIER",LDVG,745,23.62,38.01
94002,"M. Patrick BEDROSSIAN",LDVD,1844,7.63,14.90
94002,"Mme Nathalie LEVALLOIS",LDVG,997,4.12,8.05
94002,"M. Abdoulaye DIAKITE",LDIV,834,3.45,6.74
94002,"M. Cédric TARTAUD-GINESTE",LUMP,2480,10.26,20.04
94002,"M. Guy MOUNEY",LEXG,374,1.54,3.02
94002,"M. Luc CARVOUNAS",LUG,5841,24.17,47.21
94003,"M. Denis TRUFFAUT",LFN,924,7.55,15.84
94003,"M. Daniel BREUILLER",LUG,3605,29.46,61.80
94003,"M. Dominique JACQUIN",LUC,1010,8.25,17.31
94003,"Mme Nicole FLORENCE",LEXG,118,0.96,2.02
94003,"M. Robert LARCHER",LEXG,176,1.43,3.01
94004,"M. Moncef JENDOUBI",LDVG,859,10.08,20.15
94004,"M. Andre YON",LEXG,249,2.92,5.84
94004,"M. Régis CHARBONNIER",LUG,1551,18.21,36.38
94004,"Mme Maryse MICHEL",LDVD,670,7.86,15.71
94004,"M. Christophe FOGEL",LUC,934,10.96,21.90
94011,"M. Patrick DOUET",LUG,2797,29.85,100.00
94015,"M. Charles ASLANGUL",LDVD,1714,14.93,27.34
94015,"M. Thierry BRAYARD",LDVD,628,5.47,10.01
94015,"M. Johan ANKRI",LUG,1283,11.18,20.46
94015,"M. Jean-Pierre SPILBAUER",LUD,2643,23.03,42.16
94016,"M. Jean-Yves LE BOUILLONNEC",LUG,3688,22.42,45.52
94016,"M. Alfred SPEHNER",LUD,2257,13.72,27.86
94016,"M. Thierry DIDIER",LDVG,2156,13.10,26.61
94017,"M. Dominique ADENOT",LUG,9121,21.18,43.47
94017,"M. Laurent JEANNE",LUD,7790,18.09,37.13
94017,"M. Jean-Marie ROUGIER",LFN,2613,6.06,12.45
94017,"M. Yves FUCHS",LDVG,1456,3.38,6.93
94018,"Mme Emilie BERTRAND",LDVG,1008,5.13,9.62
94018,"M. Gilles-Maurice BELLAÏCHE",LUG,1724,8.78,16.46
94018,"Mme Chantal GRATIET",LDVD,952,4.84,9.09
94018,"M. Jean-Marie BRÉTILLON",LUMP,6784,34.55,64.80
94019,"M. Jean DJEBARA",LSOC,827,7.83,16.07
94019,"M. Alain AUDHÉON",LFG,377,3.57,7.32
94019,"M. Bernard HAEMMERLÉ",LUMP,1432,13.56,27.83
94019,"M. Dany GROUZELLE",LDVD,978,9.26,19.01
94019,"M. David DONADEÏ",LDVD,180,1.70,3.49
94019,"M. Jean-Pierre BARNAUD",LUC,1350,12.78,26.24
94021,"M. Guy GONSSE",LEXG,250,2.40,4.51
94021,"M. Pascal RIOUAL",LSOC,1385,13.30,25.00
94021,"M. Patrick VICERIAT",LUD,1276,12.25,23.03
94021,"Mme Stéphanie DAUMIN",LCOM,2629,25.25,47.45
94022,"M. Ali ID ELOUALI",LVEC,1434,7.09,13.91
94022,"M. Tonino PANETTA",LUD,3440,17.02,33.38
94022,"Mme Monique BARON",LDVD,1238,6.12,12.01
94022,"M. Didier GUILLAUME",LUG,3555,17.59,34.50
94022,"Mme Josefa TORRES",LEXG,243,1.20,2.35
94022,"Mme Yamina AKABI",LEXG,393,1.94,3.81
94028,"Mme Marianne BOULC'H",LVEC,1668,3.34,7.53
94028,"M. Gaétan MARZO",LFN,2623,5.26,11.85
94028,"M. Daniel GENDRE",LEXG,492,0.98,2.22
94028,"M. Mustapha ABBAOUI",LDVG,934,1.87,4.22
94028,"M. Farid CHIBOUT",LDVD,280,0.56,1.26
94028,"M. Thierry HEBBRECHT",LUMP,4553,9.13,20.57
94028,"Mme Sylvie SMANIOTTO GRUSKA",LUC,1123,2.25,5.07
94028,"M. Laurent CATHALA",LUG,10459,20.97,47.25
94033,"M. Gildas LECOQ",LUD,5044,15.33,30.31
94033,"M. Jean-François VOGUET",LDVG,8055,24.48,48.40
94033,"Mme Murielle MICHON",LDVG,1369,4.16,8.22
94033,"M. Patrice BEDOURET",LSOC,2173,6.60,13.05
94034,"M. Georges KIBONG AMIRA",LUMP,1590,10.40,22.56
94034,"M. Jean-Jacques BRIDEY",LUG,2709,17.73,38.44
94034,"M. Kaddour METIR",LDVG,766,5.01,10.86
94034,"Mme Frédérique PRADIER",LDVD,1982,12.97,28.12
94037,"M. Benoît CRESPIN",LUMP,1565,15.76,31.91
94037,"Mme Patricia TORDJMAN",LUG,3338,33.62,68.08
94038,"M. Pierre COILBAULT",LUG,4720,24.24,45.92
94038,"M. Vincent JEANBRUN",LUD,5558,28.55,54.07
94041,"M. Régis LECLERCQ",LUD,2936,10.15,22.40
94041,"Mme Gisèle PERNIN",LEXG,322,1.11,2.45
94041,"Mme Sandrine BERNARD",LSOC,2818,9.74,21.50
94041,"M. Serge ABERDAM",LEXG,517,1.78,3.94
94041,"M. Pierre GOSNAT",LFG,6512,22.52,49.69
94042,"M. Jean François CLAIR",LUG,1559,12.69,23.16
94042,"M. Olivier AUBRY",LDVD,1391,11.33,20.67
94042,"M. Pascal AJAR",LDVD,375,3.05,5.57
94042,"M. Olivier DOSNE",LUD,3404,27.72,50.58
94043,"M. Saïd HASSANI",LUC,807,5.45,11.62
94043,"M. Bernard CHAPPELLIER",LVEC,523,3.53,7.53
94043,"M. Gilles VALET",LDVG,460,3.11,6.62
94043,"M. Arnaud WEBER-GUILLOUET",LUMP,2095,14.17,30.16
94043,"M. Jean-Luc LAURENT",LUG,2898,19.60,41.73
94043,"M. Nicolas PETILLOT",LEXG,161,1.08,2.31
94044,"Mme Françoise LECOUFLE",LUD,3277,28.78,50.97
94044,"Mme Jocelyne PIGRÉE",LFG,592,5.19,9.20
94044,"M. Fabrice PEYREGA",LEXG,118,1.03,1.83
94044,"M. Raymond CATHALA",LUG,1593,13.99,24.77
94044,"M. Jean-Jacques LEJEMBLE",LFN,849,7.45,13.20
94046,"M. Bernard BOUCHÉ",LVEC,1234,3.48,6.15
94046,"M. Jean-François KING",LEXG,422,1.19,2.10
94046,"M. Franck MONFORT",LDVG,861,2.42,4.29
94046,"M. Michel HERBILLON",LUMP,14796,41.73,73.84
94046,"M. Xavier COHARD",LUG,2724,7.68,13.59
94047,"M. Jean-Brice DE BARY",LMDM,518,16.14,27.19
94047,"M. Jean-Claude PERRAULT",LDVD,1091,34.00,57.27
94047,"Mme Catherine ZASLAVSKY",LDVG,296,9.22,15.53
94048,"Mme Sylvie GERINTE",LUD,1391,35.52,57.24
94048,"M. Emmanuel BEZANÇON",LDVD,1039,26.53,42.75
94052,"M. Nicolas LEBLANC",LSOC,1322,5.77,11.47
94052,"M. Alain FRESKO",LFG,606,2.64,5.25
94052,"M. Jacques J.P MARTIN",LUD,5343,23.32,46.37
94052,"Mme Karine RENOUIL",LDVD,1719,7.50,14.92
94052,"M. Michel GILLES",LDVD,1707,7.45,14.81
94052,"M. Marc ARAZI",LDVD,824,3.59,7.15
94053,"Mme Nicole ZOÉ",LSOC,913,27.20,40.29
94053,"M. Yvan FEMEL",LUMP,1353,40.31,59.70
94054,"M. Philippe BOURIACHI",LDVG,285,2.55,5.31
94054,"M. Brahim MESSACI",LDVG,1531,13.74,28.53
94054,"M. Robert GINESTE",LDVG,276,2.47,5.14
94054,"Mme Christine JANODET",LUG,2351,21.10,43.82
94054,"M. Marco PISANU",LDVG,922,8.27,17.18
94055,"M. Guy LE DOEUFF",LUDI,1068,15.27,25.20
94055,"Mme Linda LAFORGE",LUG,442,6.31,10.43
94055,"Mme Marie-Christine SEGUI",LUMP,2346,33.54,55.36
94055,"M. Alexandre PALLARES",LFN,381,5.44,8.99
94056,"M. Georges URLACHER",LUMP,725,41.69,100.00
94058,"M. Joseph TERRIBILE",LVEC,968,4.21,8.03
94058,"M. Roland PEYLET",LUG,1340,5.84,11.12
94058,"M. Claude LÉDION",LFN,856,3.73,7.10
94058,"M. Robert SCHMITZ",LFG,517,2.25,4.29
94058,"M. Gilles CARREZ",LUD,8363,36.45,69.43
94059,"Mme Nathalie LEMAIRE",LFG,617,5.15,9.27
94059,"M. François GERARD",LDVG,850,7.10,12.78
94059,"M. Maxime CHEVALLIER",LFN,1079,9.02,16.22
94059,"M. Didier DOUSSET",LUD,4103,34.30,61.70
94060,"M. Jean-Paul FAURE-SOULET",LUD,1608,21.02,39.35
94060,"Mme Danielle MOLINIER-VERCHERE",LDVG,685,8.95,16.76
94060,"M. Jean-Jacques DARVES",LUG,1793,23.44,43.88
94065,"M. Jérôme Jawad HAJJAR",LUMP,490,11.88,17.33
94065,"M. Philippe CROQ",LDVG,988,23.96,34.94
94065,"M. Raymond CHARRESSON",LDVD,1349,32.71,47.71
94067,"Mme Geneviève TOUATI",LUG,1482,9.64,17.75
94067,"M. Patrick BEAUDOUIN",LUD,3313,21.56,39.69
94067,"M. Jean EROUKHMANOFF",LDVD,1795,11.68,21.50
94067,"Mme Claire PALLIERE",LDVD,1756,11.42,21.04
94068,"M. Sylvain BERRIOS",LUMP,7147,13.84,24.76
94068,"M. Jacques LEROY",LDVD,3190,6.17,11.05
94068,"Mme Pascale LUCIANI",LDVD,1654,3.20,5.73
94068,"M. Henri PLAGNOL",LDVD,6031,11.68,20.90
94068,"Mme Elisabeth BOUFFARD-SAVARY",LUG,3845,7.44,13.32
94068,"M. Nicolas CLODONG",LDVD,5607,10.86,19.43
94068,"M. Guy DELOCHE",LFG,1381,2.67,4.78
94069,"Mme Patricia RICHARD",LSOC,663,7.47,14.87
94069,"M. Christian CAMBON",LUD,3400,38.34,76.30
94069,"M. Claude NICOLAS",LFG,393,4.43,8.81
94070,"M. Jean-Claude GENDRONNEAU",LUMP,811,31.39,49.45
94070,"M. François PENNACCHIOLI",LDIV,171,6.62,10.42
94070,"M. Vincent BEDU",LDVD,658,25.47,40.12
94071,"Mme Marie-Carole CIUNTU",LUD,5173,30.40,54.85
94071,"M. Jacques DUVAL",LUG,1455,8.55,15.42
94071,"M. Jean-Paul GRANGE",LVEC,697,4.09,7.39
94071,"M. Georges SPIDO",LDVD,2105,12.37,22.32
94073,"M. Philippe PATRY",LUG,1198,7.25,12.55
94073,"M. Bruno TRAN",LDVD,2971,17.98,31.13
94073,"M. Pascal DURAND",LFG,442,2.67,4.63
94073,"M. Pascal BOUTET",LEXG,183,1.10,1.91
94073,"M. Richard DELL'AGNOLA",LUD,4747,28.73,49.75
94074,"Mme Françoise BAUD",LCOM,1571,25.62,57.02
94074,"M. Metin YAVUZ",LDVG,1184,19.31,42.97
94075,"M. Daniel WAPPLER",LDVD,1808,27.53,45.81
94075,"M. Gérard GUILLE",LUMP,2138,32.55,54.18
94076,"M. Jean-François HAREL",LUDI,2173,7.38,15.81
94076,"Mme Christine MAZURIER",LEXG,277,0.94,2.01
94076,"M. Philippe VIDAL",LDVG,1462,4.97,10.64
94076,"M. Alexandre GABORIT",LFN,1542,5.24,11.22
94076,"Mme Natalie GANDAIS",LVEC,1431,4.86,10.41
94076,"Mme Claudine CORDILLOT",LUG,4496,15.28,32.72
94076,"M. Franck LE BOHELLEC",LUMP,2356,8.01,17.15
94077,"M. Daniel GUERIN",LUG,1942,17.01,29.17
94077,"M. Didier GONZALES",LUD,3762,32.95,56.51
94077,"M. Guy JUIN",LDVD,314,2.75,4.71
94077,"M. Joel JOSSO",LFG,639,5.59,9.59
94078,"Mme Sylvie ALTMAN",LUG,2533,19.19,38.87
94078,"M. Dominique GEINDREAU",LEXG,213,1.61,3.26
94078,"M. Philippe GAUDIN",LUD,2072,15.70,31.80
94078,"M. Dominique JOLY",LFN,1697,12.86,26.04
94079,"Mme Simonne ABRAHAM-THISSE",LUG,2151,12.63,24.25
94079,"M. Jacques Alain BENISTI",LUD,4187,24.59,47.20
94079,"M. Gilles PARMENTIER",LFN,1146,6.73,12.92
94079,"M. Marc NORGUEZ",LFG,614,3.60,6.92
